"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 02 13:09:20 GMT 2024","Tue Jan 02 13:09:21 GMT 2024","165","Dummy Test Suite","Order management tests","com.example.demo.DummyTest","com.example.demo.DummyTest","test","test",""
"failed","Tue Jan 02 13:09:21 GMT 2024","Tue Jan 02 13:09:21 GMT 2024","13","Dummy Test Suite","Order management tests","com.example.demo.DummyTest","com.example.demo.DummyTest","test2","test2",""
